ID,Workstation,DeskNumber,Floor
1,Workstation-25,Desk-81,2
4,Workstation-52,Desk-107,1
8,Workstation-25,Desk-138,1
9,Workstation-39,Desk-55,5
10,Workstation-98,Desk-96,1
18,Workstation-99,Desk-111,1
22,Workstation-37,Desk-5,5
23,Workstation-99,Desk-102,4
29,Workstation-15,Desk-49,2
32,Workstation-89,Desk-61,4
44,Workstation-42,Desk-82,2
52,Workstation-35,Desk-122,1
61,Workstation-29,Desk-150,4
75,Workstation-11,Desk-29,3
89,Workstation-67,Desk-143,2
94,Workstation-73,Desk-94,1
96,Workstation-85,Desk-99,5
105,Workstation-38,Desk-13,3
116,Workstation-20,Desk-105,2
127,Workstation-54,Desk-144,3
134,Workstation-31,Desk-22,2
145,Workstation-77,Desk-114,2
148,Workstation-19,Desk-108,2
163,Workstation-64,Desk-138,1
168,Workstation-42,Desk-104,2
172,Workstation-60,Desk-2,2
180,Workstation-3,Desk-40,2
181,Workstation-83,Desk-48,2
184,Workstation-68,Desk-38,2
188,Workstation-45,Desk-29,3
201,Workstation-49,Desk-143,3
209,Workstation-38,Desk-70,1
210,Workstation-2,Desk-128,5
214,Workstation-86,Desk-150,2
217,Workstation-65,Desk-57,1
219,Workstation-74,Desk-98,5
232,Workstation-61,Desk-14,4
236,Workstation-1,Desk-141,1
238,Workstation-82,Desk-64,2
240,Workstation-90,Desk-65,3
244,Workstation-28,Desk-136,1
249,Workstation-76,Desk-148,1
250,Workstation-86,Desk-91,5
252,Workstation-26,Desk-113,1
253,Workstation-10,Desk-19,5
270,Workstation-97,Desk-145,4
274,Workstation-81,Desk-9,1
278,Workstation-17,Desk-88,4
279,Workstation-58,Desk-36,1
284,Workstation-17,Desk-43,4
288,Workstation-54,Desk-106,1
292,Workstation-100,Desk-123,5
303,Workstation-27,Desk-148,4
310,Workstation-42,Desk-6,2
311,Workstation-80,Desk-131,4
314,Workstation-20,Desk-103,3
315,Workstation-89,Desk-64,1
322,Workstation-4,Desk-93,1
354,Workstation-6,Desk-9,2
356,Workstation-24,Desk-137,3
361,Workstation-96,Desk-27,1
363,Workstation-69,Desk-60,1
367,Workstation-38,Desk-120,3
370,Workstation-84,Desk-6,5
372,Workstation-90,Desk-85,2
374,Workstation-63,Desk-149,4
382,Workstation-26,Desk-111,1
390,Workstation-96,Desk-147,3
400,Workstation-22,Desk-135,4
414,Workstation-64,Desk-38,4
419,Workstation-61,Desk-134,5
421,Workstation-17,Desk-8,4
427,Workstation-45,Desk-116,1
429,Workstation-64,Desk-64,4
435,Workstation-28,Desk-26,3
437,Workstation-97,Desk-46,4
442,Workstation-17,Desk-103,3
457,Workstation-56,Desk-114,2
459,Workstation-63,Desk-78,3
465,Workstation-54,Desk-134,1
467,Workstation-79,Desk-33,5
473,Workstation-27,Desk-36,5
476,Workstation-50,Desk-114,4
481,Workstation-3,Desk-89,1
493,Workstation-91,Desk-28,2
495,Workstation-49,Desk-78,5
500,Workstation-95,Desk-66,3
505,Workstation-49,Desk-121,2
508,Workstation-1,Desk-26,3
515,Workstation-48,Desk-65,3
516,Workstation-98,Desk-60,4
517,Workstation-61,Desk-41,2
523,Workstation-92,Desk-10,3
528,Workstation-43,Desk-11,2
542,Workstation-10,Desk-144,3
543,Workstation-87,Desk-86,1
544,Workstation-46,Desk-136,3
550,Workstation-71,Desk-83,2
552,Workstation-91,Desk-79,4
555,Workstation-91,Desk-88,2
557,Workstation-47,Desk-127,2
564,Workstation-72,Desk-64,3
565,Workstation-51,Desk-86,2
569,Workstation-10,Desk-139,1
572,Workstation-97,Desk-104,2
575,Workstation-27,Desk-115,5
576,Workstation-24,Desk-70,5
578,Workstation-91,Desk-141,5
580,Workstation-91,Desk-103,2
589,Workstation-72,Desk-41,4
594,Workstation-58,Desk-35,5
595,Workstation-29,Desk-10,2
597,Workstation-88,Desk-55,3
603,Workstation-2,Desk-50,1
604,Workstation-99,Desk-106,2
606,Workstation-26,Desk-119,4
612,Workstation-64,Desk-38,2
621,Workstation-31,Desk-56,3
628,Workstation-63,Desk-80,4
644,Workstation-82,Desk-34,4
