Disposal_ID,Book_ID,Conservator_ID,Method,Material_of_Book,Date
2883593,3486320844,200027,Burial,Synthetic,2023-06-15
4325410,5440752144,200013,Burial,Metal,2023-02-27
6160419,7090847383,200027,Incineration,Metal,2023-11-26
9830438,5258525588,200006,Donation,Metal,2024-10-15
7864361,3874173773,200020,Donation,Synthetic,2023-04-28
5767209,4003479184,200027,Shredding,Leather,2024-06-04
3014706,5835053122,200026,Burial,Paper,2024-01-14
4456508,9587920001,200011,Repurposing,Synthetic,2024-05-11
4980801,1289190250,200010,Burial,Leather,2024-05-07
8650817,8639640425,200013,Shredding,Metal,2024-01-22
1441868,5062320971,200008,Burial,Paper,2024-11-10
4718669,6275791753,200015,Recycling,Paper,2023-07-19
9306191,1309264614,200008,Donation,Leather,2024-08-21
3014737,4431073218,200013,Burial,Leather,2024-10-06
3145842,3680659780,200010,Repurposing,Synthetic,2024-05-10
1704061,2277540709,200015,Burial,Metal,2023-05-05
7733375,8195666124,200008,Incineration,Leather,2024-03-21
4194445,2989598846,200013,Shredding,Metal,2024-01-14
2752659,3073164803,200020,Recycling,Leather,2025-01-04
7209116,2765020940,200011,Incineration,Paper,2023-04-15
8781981,1784969227,200011,Burial,Leather,2024-09-07
8913063,3987865377,200010,Incineration,Synthetic,2024-01-03
3014824,3416145424,200026,Repurposing,Synthetic,2024-10-28
4063402,1123028396,200011,Shredding,Metal,2023-06-16
5243066,7212042749,200026,Incineration,Paper,2023-12-18
7995588,4281581173,200015,Incineration,Paper,2024-08-18
1835208,8173746010,200020,Incineration,Paper,2024-03-09
3277003,8275631907,200013,Shredding,Synthetic,2023-08-08
7995602,8510832183,200013,Incineration,Leather,2024-07-08
2490582,9125815784,200011,Repurposing,Paper,2023-10-17
2359516,1702471250,200026,Shredding,Metal,2024-01-08
7864544,3252314500,200010,Burial,Leather,2024-02-15
1966305,2044933346,200010,Incineration,Paper,2024-05-31
9044203,7794329197,200020,Recycling,Synthetic,2024-05-28
4325611,8248819373,200020,Shredding,Metal,2023-06-10
9699565,8060648276,200011,Repurposing,Synthetic,2023-05-17
1704175,6957792234,200020,Burial,Leather,2024-09-07
7209207,4441884604,200027,Burial,Metal,2024-04-12
1704191,9836361100,200008,Shredding,Synthetic,2023-01-24
9699593,4162897186,200008,Burial,Leather,2024-12-12
6160656,2060961653,200026,Shredding,Metal,2024-11-24
8782103,8680725330,200015,Repurposing,Leather,2023-05-28
1311004,8699031649,200020,Shredding,Paper,2024-06-04
7602481,6500711236,200010,Recycling,Metal,2024-01-08
9961777,7433462851,200020,Burial,Leather,2023-02-26
8782133,9845395033,200008,Donation,Synthetic,2023-09-09
2097465,1361051493,200008,Shredding,Paper,2023-04-23
7733561,3498367409,200011,Shredding,Metal,2023-02-22
1442125,9521903096,200008,Recycling,Synthetic,2024-03-26
3014990,4046646572,200006,Repurposing,Paper,2024-11-20
1311058,9129749064,200008,Shredding,Synthetic,2023-09-22
3801426,4844173110,200006,Incineration,Metal,2024-09-01
2883931,9785860236,200027,Repurposing,Synthetic,2023-11-19
5636446,6844680654,200006,Donation,Metal,2023-04-16
7471458,4012179058,200006,Recycling,Synthetic,2024-05-03
4981093,1743565325,200020,Repurposing,Metal,2024-01-14
1704294,6054866117,200015,Burial,Leather,2024-10-09
4456808,9994953008,200010,Shredding,Metal,2023-10-09
4456812,6886952900,200015,Incineration,Leather,2023-05-22
9437565,5823991026,200026,Repurposing,Synthetic,2023-04-27
1573250,9236978764,200011,Repurposing,Synthetic,2023-08-16
9699715,4581914245,200010,Recycling,Metal,2024-08-03
7733639,7699788788,200010,Donation,Paper,2024-05-30
4194696,5325360796,200020,Shredding,Leather,2024-09-27
4325781,6450297821,200006,Recycling,Paper,2024-08-22
7340441,8647078019,200006,Incineration,Leather,2024-05-26
3015070,6811743107,200006,Donation,Synthetic,2023-09-01
5374369,8609206429,200026,Donation,Paper,2023-04-04
9437606,4431008996,200013,Burial,Metal,2024-10-15
1180084,8995559992,200015,Burial,Paper,2024-01-20
7340471,2746800476,200006,Shredding,Metal,2024-01-13
3801531,3362115025,200011,Repurposing,Leather,2023-04-18
2097601,6974501053,200020,Incineration,Leather,2024-10-21
9568721,7140944396,200008,Shredding,Synthetic,2023-07-22
1573334,6001842105,200015,Donation,Paper,2023-08-05
8126935,6561062687,200027,Burial,Paper,2024-07-19
9961943,5389019629,200027,Incineration,Synthetic,2023-01-20
4850138,6834879500,200013,Shredding,Paper,2023-02-26
2228698,4718080916,200008,Shredding,Leather,2024-06-07
4456924,2514360666,200026,Burial,Synthetic,2024-10-14
9306597,5319812031,200010,Repurposing,Leather,2024-02-13
6160873,8038224828,200015,Incineration,Synthetic,2023-01-23
6029813,7297600009,200013,Burial,Paper,2024-08-30
6554107,4934287332,200015,Recycling,Paper,2024-09-03
3932670,1074820451,200008,Donation,Synthetic,2023-11-01
1835522,3938403279,200008,Shredding,Paper,2024-09-26
3277318,1313609447,200015,Burial,Metal,2023-04-27
2490900,2836847337,200027,Incineration,Synthetic,2024-04-04
4325908,5959403641,200010,Incineration,Paper,2024-01-20
9962006,6284238890,200010,Shredding,Leather,2023-06-02
4194847,9920396707,200010,Shredding,Metal,2024-11-14
8258083,4415099436,200015,Burial,Paper,2024-05-31
2490920,3183337020,200020,Donation,Leather,2024-12-07
9175597,5184459180,200026,Burial,Paper,2024-01-14
8258128,5061799240,200027,Donation,Paper,2024-06-15
6947410,9202231627,200015,Incineration,Synthetic,2024-09-12
6292051,3484615757,200010,Repurposing,Leather,2024-11-06
2884181,4680533848,200006,Repurposing,Metal,2024-10-08
3539547,8031548119,200027,Shredding,Synthetic,2024-01-27
1442396,3573797939,200008,Incineration,Paper,2023-12-19
7864924,9446326549,200013,Donation,Metal,2024-02-13
6685282,1376499705,200013,Incineration,Paper,2024-12-01
1966697,1386423640,200008,Incineration,Leather,2023-03-05
2884206,9417235163,200020,Shredding,Leather,2023-04-21
4194932,3946326984,200026,Recycling,Synthetic,2023-08-19
2097782,7568633839,200011,Shredding,Paper,2024-02-01
1049206,2456169159,200010,Repurposing,Paper,2023-04-09
1442432,2881583291,200027,Burial,Paper,2023-06-20
5636746,9719633377,200013,Incineration,Synthetic,2024-12-27
9568919,5935984785,200011,Burial,Paper,2024-10-05
6947479,9866141301,200013,Incineration,Leather,2023-12-31
7602848,7484355835,200013,Recycling,Synthetic,2023-05-09
8651426,4159185113,200013,Incineration,Leather,2023-12-18
8258215,7552110388,200006,Shredding,Metal,2023-04-18
8651438,4154241662,200011,Shredding,Paper,2024-02-23
6816430,6609240849,200011,Recycling,Leather,2024-12-09
9437873,4568075774,200013,Recycling,Leather,2024-11-10
1442491,1658262145,200011,Burial,Synthetic,2024-05-30
2228928,2127569699,200011,Donation,Metal,2024-09-28
9044681,4657123755,200027,Incineration,Synthetic,2023-06-27
2622153,1041714271,200020,Burial,Metal,2023-11-28
7078603,7901623270,200008,Incineration,Leather,2024-08-14
6554319,3855938283,200020,Shredding,Synthetic,2023-09-07
7078607,5647736642,200026,Donation,Leather,2024-09-22
2622173,1421597379,200020,Incineration,Metal,2023-07-17
9831136,1111926228,200027,Donation,Synthetic,2023-04-08
2491107,4381315581,200011,Shredding,Metal,2024-03-03
4981482,5986916241,200011,Burial,Metal,2024-02-16
4588282,7167578854,200013,Burial,Paper,2024-03-11
7602943,2735554339,200015,Burial,Metal,2023-02-13
9962244,1960560152,200026,Repurposing,Leather,2024-06-27
3539720,2891890451,200026,Shredding,Paper,2024-02-01
2491150,1103378837,200020,Recycling,Paper,2023-04-23
8258321,8320412016,200011,Incineration,Synthetic,2023-04-16
7078677,5620012325,200013,Donation,Paper,2023-10-15
5767958,4641823233,200013,Shredding,Synthetic,2025-01-19
1704728,5607050868,200010,Shredding,Synthetic,2024-12-26
9437979,3441803394,200015,Repurposing,Leather,2023-08-05
9044767,6763786704,200013,Recycling,Synthetic,2025-01-04
5112613,6091050414,200020,Shredding,Synthetic,2024-04-02
7078704,5485141535,200008,Shredding,Metal,2024-02-29
5243706,2487296639,200015,Repurposing,Metal,2025-01-15
7603004,7510697160,200026,Burial,Paper,2023-11-26
2360126,3235261075,200011,Shredding,Paper,2024-09-14
4850496,9456607306,200013,Donation,Metal,2023-11-18
1442636,4154613040,200006,Shredding,Synthetic,2024-05-03
7471948,1691952955,200011,Recycling,Synthetic,2023-02-12
1442637,2325371551,200026,Recycling,Synthetic,2023-03-21
