ID,Section,Expertise,YearsOfExperience
1,History,Acquisition,23
5,History,Customer Support,19
10,Children,Cataloging,31
14,Arts,Acquisition,23
18,History,Cataloging,11
28,Arts,Cataloging,36
29,History,Cataloging,38
34,History,Acquisition,16
44,History,Cataloging,6
45,Science,Customer Support,21
49,Science,Customer Support,17
61,Arts,Acquisition,19
70,Science,Cataloging,40
74,History,Customer Support,34
76,Arts,Cataloging,31
82,Arts,Acquisition,4
90,Science,Acquisition,32
91,Arts,Customer Support,14
94,History,Cataloging,9
95,Science,Acquisition,25
96,Children,Acquisition,16
103,History,Customer Support,16
109,Arts,Customer Support,15
111,Children,Customer Support,11
114,Science,Customer Support,36
116,Science,Acquisition,3
121,Science,Customer Support,26
122,Children,Acquisition,38
136,History,Cataloging,4
145,Science,Cataloging,34
146,Arts,Cataloging,19
150,Science,Acquisition,25
161,Science,Acquisition,11
175,Science,Acquisition,17
179,History,Customer Support,1
188,Children,Customer Support,8
193,Children,Acquisition,14
203,Children,Cataloging,37
208,History,Customer Support,28
214,Science,Cataloging,32
221,Children,Customer Support,2
224,Arts,Cataloging,14
225,Arts,Cataloging,18
232,Children,Cataloging,19
240,Science,Acquisition,36
243,Children,Acquisition,36
254,History,Cataloging,8
255,Science,Acquisition,23
275,Science,Cataloging,27
279,Children,Acquisition,25
280,Arts,Customer Support,32
284,Science,Cataloging,35
288,Children,Customer Support,35
292,History,Acquisition,7
311,Children,Acquisition,37
312,History,Customer Support,29
316,Children,Customer Support,36
318,History,Cataloging,15
319,Children,Acquisition,25
320,Children,Acquisition,35
328,History,Acquisition,40
334,Children,Acquisition,9
352,History,Cataloging,40
357,History,Cataloging,39
361,Arts,Cataloging,23
365,Science,Acquisition,1
372,Science,Customer Support,37
381,Children,Customer Support,14
385,Children,Acquisition,28
387,History,Cataloging,39
388,Arts,Acquisition,32
389,Children,Customer Support,10
391,Children,Cataloging,2
393,Arts,Acquisition,15
394,Children,Cataloging,21
396,History,Acquisition,15
397,Arts,Cataloging,13
399,Children,Customer Support,15
402,Children,Acquisition,6
404,Arts,Customer Support,24
409,History,Cataloging,35
413,Children,Cataloging,1
417,Children,Acquisition,10
421,Children,Cataloging,26
430,Children,Acquisition,18
431,Arts,Acquisition,4
433,Children,Acquisition,32
436,Science,Customer Support,25
440,Arts,Acquisition,39
445,History,Customer Support,34
448,Children,Cataloging,18
459,Science,Customer Support,30
462,History,Cataloging,2
482,Children,Customer Support,40
486,Arts,Acquisition,6
494,History,Cataloging,8
498,Children,Customer Support,20
500,History,Customer Support,15
518,History,Acquisition,18
520,Arts,Acquisition,19
526,Children,Acquisition,7
528,Arts,Cataloging,3
531,Children,Acquisition,23
534,Science,Cataloging,20
540,Arts,Acquisition,9
545,Science,Cataloging,4
547,Arts,Customer Support,25
552,Science,Cataloging,18
561,Science,Customer Support,27
562,Science,Cataloging,35
566,Arts,Cataloging,18
569,History,Cataloging,33
570,History,Cataloging,9
591,Science,Customer Support,13
593,Children,Customer Support,17
597,Children,Customer Support,2
602,History,Customer Support,9
604,Science,Customer Support,28
613,Children,Customer Support,3
624,Children,Acquisition,4
628,Science,Acquisition,35
641,Arts,Cataloging,13
642,Children,Customer Support,30
645,Science,Cataloging,37
651,Science,Cataloging,8
652,Arts,Acquisition,4
667,Science,Acquisition,19
677,Children,Cataloging,34
679,Science,Cataloging,15
688,Science,Customer Support,31
690,Science,Customer Support,10
694,History,Cataloging,9
698,Arts,Customer Support,11
700,Science,Acquisition,35
707,Children,Cataloging,30
710,Children,Cataloging,5
717,Science,Acquisition,21
730,Science,Customer Support,12
733,Arts,Cataloging,19
736,Science,Acquisition,19
743,History,Acquisition,2
749,Children,Customer Support,7
753,Science,Customer Support,27
762,Science,Acquisition,30
763,Science,Customer Support,4
771,Arts,Cataloging,40
778,History,Cataloging,36
779,Children,Customer Support,18
780,Arts,Acquisition,30
784,Children,Cataloging,10
797,Arts,Acquisition,1
798,Children,Acquisition,38
800,History,Cataloging,17
802,History,Cataloging,23
803,Science,Cataloging,30
806,Science,Cataloging,16
809,Children,Acquisition,27
810,Children,Customer Support,17
813,Science,Cataloging,38
816,History,Acquisition,2
828,Arts,Cataloging,3
838,History,Cataloging,29
839,Arts,Acquisition,37
