MarketerID,Platform,Username,FollowerCount,TargetAudience
7,x,user_0,10679,Teenagers
15,pinterest,user_1,11829,Fashion Lovers
25,pinterest,user_2,30548,Teenagers
37,pinterest,user_3,16642,Health Enthusiasts
38,pinterest,user_4,11087,Teenagers
45,linkedin,user_5,2918,Tech Enthusiasts
47,x,user_6,32296,Gen Z
49,facebook,user_7,49341,Foodies
50,x,user_8,39592,Tech Enthusiasts
57,x,user_9,20842,News Readers
66,linkedin,user_10,10874,News Readers
68,linkedin,user_11,14527,Business Professionals
72,x,user_12,36814,Fitness Buffs
76,x,user_13,28591,Foodies
79,instagram,user_14,49544,Health Enthusiasts
80,linkedin,user_15,22711,News Readers
86,instagram,user_16,2741,Gen Z
87,x,user_17,37262,Fashion Lovers
101,facebook,user_18,44082,Fashion Lovers
104,pinterest,user_19,28181,Health Enthusiasts
108,linkedin,user_20,5879,Tech Enthusiasts
109,facebook,user_21,7980,Tech Enthusiasts
118,pinterest,user_22,30017,Teenagers
119,pinterest,user_23,19369,News Readers
124,facebook,user_24,32004,Teenagers
139,linkedin,user_25,10603,Foodies
142,x,user_26,39788,News Readers
144,facebook,user_27,42887,Business Professionals
146,linkedin,user_28,37757,Teenagers
152,linkedin,user_29,10672,Fitness Buffs
167,instagram,user_30,5505,Foodies
169,pinterest,user_31,35903,Foodies
175,x,user_32,44144,News Readers
183,linkedin,user_33,47158,Fashion Lovers
185,facebook,user_34,34365,Fitness Buffs
192,pinterest,user_35,26659,News Readers
196,linkedin,user_36,37382,Gen Z
200,pinterest,user_37,7357,Gen Z
216,linkedin,user_38,2497,Gen Z
220,x,user_39,23708,News Readers
223,instagram,user_40,20101,Teenagers
225,facebook,user_41,36343,Tech Enthusiasts
227,instagram,user_42,6835,Fitness Buffs
228,facebook,user_43,29830,News Readers
229,linkedin,user_44,7546,Foodies
233,x,user_45,29775,Foodies
246,linkedin,user_46,27995,Business Professionals
248,x,user_47,16579,News Readers
258,x,user_48,33214,Gen Z
263,x,user_49,14570,Business Professionals
264,instagram,user_50,22621,Fitness Buffs
266,pinterest,user_51,25691,Teenagers
268,pinterest,user_52,31919,Fashion Lovers
271,x,user_53,15912,Fashion Lovers
272,linkedin,user_54,11325,Health Enthusiasts
273,linkedin,user_55,14103,Teenagers
277,facebook,user_56,34023,Gen Z
283,instagram,user_57,14253,Business Professionals
286,linkedin,user_58,11260,Fashion Lovers
287,linkedin,user_59,37460,Tech Enthusiasts
290,pinterest,user_60,7531,Health Enthusiasts
295,x,user_61,3512,Business Professionals
296,instagram,user_62,21605,Gen Z
299,instagram,user_63,35793,Gen Z
308,pinterest,user_64,47490,Gen Z
309,instagram,user_65,44875,Foodies
318,facebook,user_66,46200,Fashion Lovers
321,linkedin,user_67,42287,Gen Z
327,instagram,user_68,37822,Business Professionals
328,pinterest,user_69,47014,Teenagers
329,linkedin,user_70,26215,Foodies
330,instagram,user_71,19990,News Readers
334,pinterest,user_72,27943,Fitness Buffs
335,instagram,user_73,1596,Fashion Lovers
349,x,user_74,18652,Health Enthusiasts
351,linkedin,user_75,30648,Tech Enthusiasts
352,facebook,user_76,46543,Gen Z
355,pinterest,user_77,44245,Business Professionals
357,x,user_78,6551,Tech Enthusiasts
366,linkedin,user_79,4091,Business Professionals
368,x,user_80,35579,Foodies
369,facebook,user_81,5830,Teenagers
373,linkedin,user_82,46868,Health Enthusiasts
388,instagram,user_83,29469,Tech Enthusiasts
392,facebook,user_84,32072,News Readers
398,pinterest,user_85,11889,Fitness Buffs
405,linkedin,user_86,41012,Gen Z
409,x,user_87,47327,Fashion Lovers
410,x,user_88,21284,News Readers
412,pinterest,user_89,22683,Health Enthusiasts
