ID,Specialisation,Certification,CreativeSkill
2,Content Creation,Google Certified,Writing
5,Public Relations,Google Certified,Video Production
7,Digital Marketing,HubSpot Certified,Writing
15,Public Relations,None,Graphic Design
17,Content Creation,HubSpot Certified,Graphic Design
25,Digital Marketing,HubSpot Certified,Writing
26,Content Creation,HubSpot Certified,Writing
27,Digital Marketing,Google Certified,Video Production
32,Public Relations,HubSpot Certified,Writing
34,Digital Marketing,Google Certified,Video Production
41,Content Creation,Google Certified,Video Production
46,Digital Marketing,Google Certified,Writing
56,Content Creation,Google Certified,Video Production
58,Digital Marketing,None,Graphic Design
59,Content Creation,Google Certified,Graphic Design
60,Content Creation,HubSpot Certified,Graphic Design
61,Public Relations,HubSpot Certified,Video Production
77,Content Creation,HubSpot Certified,Graphic Design
85,Digital Marketing,HubSpot Certified,Graphic Design
101,Digital Marketing,Google Certified,Writing
102,Public Relations,None,Video Production
103,Public Relations,Google Certified,Writing
106,Content Creation,HubSpot Certified,Graphic Design
119,Public Relations,None,Writing
121,Digital Marketing,Google Certified,Graphic Design
125,Public Relations,None,Graphic Design
127,Digital Marketing,None,Video Production
128,Digital Marketing,None,Graphic Design
135,Public Relations,HubSpot Certified,Writing
149,Digital Marketing,HubSpot Certified,Writing
150,Public Relations,HubSpot Certified,Video Production
156,Public Relations,HubSpot Certified,Graphic Design
158,Digital Marketing,None,Video Production
159,Content Creation,HubSpot Certified,Graphic Design
166,Content Creation,None,Video Production
167,Digital Marketing,HubSpot Certified,Writing
170,Content Creation,Google Certified,Writing
172,Digital Marketing,None,Video Production
173,Content Creation,HubSpot Certified,Graphic Design
184,Digital Marketing,HubSpot Certified,Writing
192,Content Creation,Google Certified,Writing
203,Digital Marketing,HubSpot Certified,Writing
204,Digital Marketing,HubSpot Certified,Writing
208,Public Relations,None,Graphic Design
209,Public Relations,Google Certified,Video Production
210,Digital Marketing,None,Video Production
212,Digital Marketing,None,Writing
213,Digital Marketing,Google Certified,Writing
214,Content Creation,Google Certified,Video Production
215,Digital Marketing,HubSpot Certified,Writing
216,Public Relations,Google Certified,Writing
236,Public Relations,None,Writing
237,Public Relations,None,Graphic Design
238,Digital Marketing,None,Video Production
239,Digital Marketing,Google Certified,Graphic Design
243,Digital Marketing,None,Graphic Design
244,Digital Marketing,None,Writing
254,Digital Marketing,HubSpot Certified,Writing
255,Content Creation,HubSpot Certified,Video Production
270,Public Relations,None,Writing
272,Public Relations,HubSpot Certified,Video Production
273,Content Creation,HubSpot Certified,Video Production
275,Content Creation,None,Video Production
283,Digital Marketing,HubSpot Certified,Graphic Design
292,Public Relations,None,Video Production
296,Digital Marketing,None,Graphic Design
297,Public Relations,Google Certified,Graphic Design
303,Public Relations,HubSpot Certified,Writing
304,Public Relations,None,Writing
305,Content Creation,Google Certified,Graphic Design
307,Content Creation,HubSpot Certified,Video Production
311,Digital Marketing,HubSpot Certified,Video Production
314,Digital Marketing,Google Certified,Video Production
317,Content Creation,Google Certified,Graphic Design
319,Digital Marketing,None,Graphic Design
323,Content Creation,Google Certified,Writing
327,Content Creation,None,Writing
331,Public Relations,None,Writing
334,Public Relations,None,Writing
338,Content Creation,HubSpot Certified,Graphic Design
348,Public Relations,None,Graphic Design
350,Content Creation,HubSpot Certified,Writing
360,Public Relations,Google Certified,Writing
364,Content Creation,None,Video Production
366,Content Creation,Google Certified,Video Production
370,Digital Marketing,HubSpot Certified,Video Production
372,Public Relations,None,Writing
376,Digital Marketing,Google Certified,Graphic Design
381,Public Relations,HubSpot Certified,Graphic Design
398,Public Relations,None,Writing
401,Content Creation,Google Certified,Writing
406,Content Creation,None,Graphic Design
407,Public Relations,Google Certified,Writing
408,Digital Marketing,HubSpot Certified,Video Production
409,Content Creation,None,Video Production
412,Public Relations,HubSpot Certified,Video Production
413,Digital Marketing,Google Certified,Graphic Design
417,Digital Marketing,Google Certified,Graphic Design
423,Public Relations,None,Graphic Design
430,Digital Marketing,None,Graphic Design
432,Digital Marketing,None,Video Production
434,Digital Marketing,HubSpot Certified,Video Production
436,Public Relations,None,Writing
437,Content Creation,None,Graphic Design
442,Public Relations,HubSpot Certified,Writing
444,Public Relations,Google Certified,Writing
454,Digital Marketing,Google Certified,Video Production
456,Public Relations,HubSpot Certified,Graphic Design
464,Digital Marketing,HubSpot Certified,Writing
465,Content Creation,None,Video Production
467,Digital Marketing,Google Certified,Writing
470,Public Relations,None,Writing
477,Public Relations,HubSpot Certified,Graphic Design
483,Digital Marketing,Google Certified,Writing
485,Content Creation,None,Graphic Design
