ID,Area,Role,ClearanceLevel
12,Archives,Guard,5
17,Entrance,Guard,4
20,Entrance,Supervisor,4
24,Reading Room,Supervisor,5
28,Reading Room,Supervisor,2
31,Reading Room,Guard,3
40,Entrance,Guard,3
41,Archives,Guard,3
42,Reading Room,Supervisor,5
43,Entrance,Supervisor,3
56,Reading Room,Guard,3
58,Entrance,Supervisor,2
60,Archives,Supervisor,3
67,Reading Room,Guard,5
77,Entrance,Supervisor,5
83,Reading Room,Guard,1
90,Entrance,Guard,2
91,Entrance,Guard,2
93,Reading Room,Supervisor,1
95,Entrance,Supervisor,3
97,Entrance,Guard,3
98,Archives,Supervisor,1
99,Archives,Supervisor,1
106,Archives,Guard,1
112,Reading Room,Guard,5
114,Archives,Guard,4
115,Reading Room,Guard,2
123,Reading Room,Supervisor,2
125,Reading Room,Supervisor,1
126,Archives,Guard,3
129,Entrance,Guard,3
130,Entrance,Supervisor,2
131,Archives,Guard,4
132,Archives,Supervisor,2
135,Entrance,Guard,2
147,Reading Room,Supervisor,3
155,Archives,Supervisor,5
157,Entrance,Supervisor,4
158,Reading Room,Supervisor,3
160,Archives,Guard,3
162,Archives,Guard,3
165,Reading Room,Supervisor,2
166,Reading Room,Guard,5
170,Archives,Supervisor,5
177,Archives,Supervisor,1
187,Entrance,Guard,5
189,Reading Room,Supervisor,1
195,Archives,Guard,3
197,Entrance,Guard,2
218,Entrance,Supervisor,4
231,Entrance,Guard,1
239,Reading Room,Supervisor,3
242,Entrance,Supervisor,4
243,Entrance,Supervisor,5
245,Entrance,Guard,4
247,Archives,Guard,4
254,Archives,Guard,3
255,Archives,Guard,5
259,Entrance,Supervisor,2
260,Entrance,Supervisor,3
269,Entrance,Guard,5
275,Archives,Guard,2
276,Reading Room,Guard,4
281,Reading Room,Guard,5
291,Archives,Supervisor,2
293,Entrance,Guard,1
294,Entrance,Supervisor,3
297,Entrance,Guard,4
298,Entrance,Guard,2
300,Entrance,Guard,2
301,Entrance,Supervisor,4
306,Entrance,Supervisor,5
307,Archives,Supervisor,5
312,Entrance,Supervisor,5
317,Reading Room,Supervisor,3
323,Reading Room,Supervisor,5
324,Archives,Supervisor,3
331,Archives,Guard,2
339,Entrance,Supervisor,2
340,Reading Room,Guard,4
346,Entrance,Supervisor,4
348,Entrance,Guard,3
350,Reading Room,Guard,2
353,Reading Room,Supervisor,3
360,Archives,Supervisor,2
362,Archives,Guard,5
364,Reading Room,Guard,5
365,Reading Room,Guard,5
376,Reading Room,Supervisor,5
386,Entrance,Supervisor,3
389,Reading Room,Guard,1
393,Archives,Guard,3
396,Entrance,Guard,2
402,Reading Room,Supervisor,4
407,Reading Room,Guard,3
415,Entrance,Supervisor,2
420,Archives,Supervisor,5
423,Reading Room,Supervisor,2
432,Archives,Supervisor,1
436,Reading Room,Supervisor,2
443,Archives,Guard,1
445,Archives,Supervisor,5
447,Reading Room,Supervisor,2
449,Entrance,Guard,2
450,Archives,Supervisor,4
452,Archives,Supervisor,2
453,Archives,Guard,1
454,Reading Room,Supervisor,1
456,Reading Room,Supervisor,3
462,Reading Room,Supervisor,1
470,Entrance,Supervisor,4
471,Reading Room,Supervisor,4
483,Entrance,Guard,3
484,Reading Room,Guard,4
494,Archives,Guard,2
503,Entrance,Supervisor,5
504,Reading Room,Supervisor,5
510,Entrance,Guard,5
511,Entrance,Supervisor,3
520,Reading Room,Guard,1
522,Reading Room,Guard,4
526,Entrance,Guard,5
527,Entrance,Supervisor,4
531,Reading Room,Guard,4
533,Reading Room,Guard,3
537,Reading Room,Guard,3
546,Archives,Supervisor,5
548,Entrance,Guard,1
549,Archives,Supervisor,3
559,Archives,Guard,3
560,Archives,Guard,1
561,Archives,Guard,2
577,Archives,Supervisor,5
581,Reading Room,Guard,4
583,Reading Room,Guard,2
584,Reading Room,Supervisor,3
587,Entrance,Supervisor,2
588,Reading Room,Guard,4
591,Reading Room,Guard,1
596,Reading Room,Supervisor,2
598,Reading Room,Guard,1
605,Archives,Supervisor,5
607,Entrance,Supervisor,2
610,Archives,Supervisor,2
613,Reading Room,Supervisor,5
618,Reading Room,Supervisor,2
622,Reading Room,Supervisor,2
623,Reading Room,Guard,4
629,Entrance,Guard,3
630,Reading Room,Guard,5
632,Reading Room,Guard,1
633,Reading Room,Supervisor,3
635,Entrance,Guard,2
640,Archives,Guard,2
646,Reading Room,Guard,2
647,Reading Room,Supervisor,3
649,Archives,Supervisor,2
652,Reading Room,Guard,1
653,Entrance,Supervisor,1
655,Entrance,Guard,5
661,Reading Room,Guard,3
665,Entrance,Supervisor,4
667,Archives,Supervisor,4
669,Archives,Supervisor,2
677,Reading Room,Guard,4
679,Archives,Supervisor,3
681,Entrance,Supervisor,3
685,Entrance,Guard,4
687,Archives,Supervisor,2
690,Archives,Guard,5
693,Entrance,Guard,3
696,Reading Room,Supervisor,1
703,Reading Room,Supervisor,5
712,Entrance,Guard,4
719,Archives,Guard,3
723,Archives,Supervisor,2
725,Entrance,Supervisor,2
729,Reading Room,Guard,1
730,Archives,Supervisor,5
734,Reading Room,Supervisor,5
748,Reading Room,Supervisor,5
762,Reading Room,Guard,1
769,Archives,Supervisor,2
770,Entrance,Guard,4
774,Archives,Guard,3
780,Entrance,Guard,5
791,Archives,Guard,3
795,Archives,Guard,5
802,Archives,Supervisor,1
806,Reading Room,Supervisor,2
808,Archives,Supervisor,2
809,Entrance,Guard,4
838,Entrance,Guard,1
845,Archives,Supervisor,1
879,Entrance,Guard,1
884,Archives,Supervisor,3
887,Archives,Supervisor,5
893,Reading Room,Guard,2
914,Archives,Supervisor,1
918,Archives,Supervisor,2
925,Reading Room,Supervisor,5
928,Entrance,Supervisor,5
929,Entrance,Supervisor,3
936,Archives,Supervisor,5
940,Reading Room,Supervisor,2
943,Entrance,Guard,5
944,Entrance,Supervisor,4
949,Entrance,Guard,4
956,Entrance,Guard,4
965,Reading Room,Guard,2
975,Reading Room,Supervisor,5
979,Entrance,Guard,1
985,Archives,Supervisor,2
986,Entrance,Supervisor,1
995,Reading Room,Supervisor,1
998,Entrance,Supervisor,2
1000,Reading Room,Supervisor,4
1003,Archives,Supervisor,5
1005,Entrance,Supervisor,4
1008,Archives,Supervisor,4
1017,Archives,Guard,1
1025,Reading Room,Supervisor,5
1027,Entrance,Supervisor,5
1031,Reading Room,Supervisor,3
1049,Reading Room,Supervisor,1
1050,Reading Room,Guard,5
1053,Archives,Guard,4
1061,Archives,Supervisor,4
1062,Entrance,Guard,3
1063,Archives,Guard,1
1070,Entrance,Supervisor,3
1072,Entrance,Guard,1
1074,Archives,Guard,4
1087,Reading Room,Supervisor,2
1089,Entrance,Supervisor,2
1103,Archives,Guard,5
1109,Entrance,Guard,2
1113,Entrance,Supervisor,4
1114,Archives,Supervisor,3
