ID,StoreType,StoreName,StoreLocation
4,Bookstore,Estrada-Abbott,E
6,Bookstore,Neal LLC,A
8,Retail,Bryant and Sons,D
25,Bookstore,Sanchez Ltd,C
26,Retail,Ballard-Snyder and Hughes,D
31,Bookstore,Johnson-Silva and Avery,C
33,Library Supply,Obrien LLC,F
37,Library Supply,Combs Ltd,E
38,Retail,Shaw-Parker and Miller,D
40,Bookstore,Hurst-Adams and Warner,A
41,Bookstore,Adams-Figueroa,C
50,Library Supply,Williams Inc,B
63,Library Supply,Walker-Velez and Porter,F
69,Bookstore,Bradley LLC,C
77,Retail,Davis-Henry,E
86,Bookstore,Kelley-Moore and Burke,F
89,Bookstore,Johnson and Sons,F
99,Retail,Wilson-Hernandez,E
101,Bookstore,Murray-Ortiz,A
105,Retail,Harris and Sons,B
117,Library Supply,Pruitt-Miller,F
128,Bookstore,Mckenzie LLC,B
130,Bookstore,Miller LLC,D
131,Bookstore,Garcia and Sons,C
140,Library Supply,Pitts PLC,E
142,Bookstore,Melton-Moran and Cunningham,C
144,Bookstore,Gregory-Chang and Reid,A
149,Retail,Williams Group,D
164,Library Supply,Cervantes-Johnson,B
165,Bookstore,Craig-Rivers and King,D
168,Bookstore,Lopez Inc,B
169,Retail,Mcmahon-Brown,E
173,Library Supply,Walton-Padilla,F
177,Retail,Leblanc-Evans,D
182,Retail,Stewart Ltd,A
185,Bookstore,Green and Sons,C
191,Library Supply,Russell-Wagner and Jones,C
192,Library Supply,Villa-Perez and Kennedy,B
196,Bookstore,Foley-Roberson and Gomez,F
199,Retail,Jackson-Williams,A
211,Retail,Chung Inc,B
218,Bookstore,Smith-Waters,B
219,Library Supply,Allen-Greene and Moss,F
226,Retail,Garrett-Molina,B
228,Retail,Lambert-Harrison and Wiley,E
233,Library Supply,Mitchell PLC,C
247,Library Supply,Griffith-Davis and Robinson,D
250,Retail,Campbell Group,A
251,Library Supply,Rhodes-Camacho and Martinez,F
257,Retail,Cooper-Watson,A
260,Bookstore,Davis Ltd,E
265,Bookstore,Mack LLC,E
268,Bookstore,Patterson Group,F
270,Bookstore,Martinez-Johnson and Walker,F
274,Library Supply,Schultz-Mosley and Reynolds,E
276,Bookstore,Jones PLC,B
277,Retail,Harris-Martin and Williams,B
