Upkeep_ID,Book_ID,Conservator_ID,Tools_Used,Reason_for_Upkeep,Date
19922947,6607671554,200029,Glue,Insect damage,2023-02-03
69206023,5136844017,200030,Clamps,Water damage,2023-04-21
15204366,3327898005,200030,Clamps,Staining,2023-05-16
57540627,4840112318,200014,Tweezers,Faded text,2023-08-23
11665430,1220117316,200025,Scalpel,Faded text,2023-02-11
71434263,3390985472,200002,Clamps,Insect damage,2024-07-22
49414168,4006482383,200016,Tweezers,Cover damage,2024-08-01
41156633,7189753842,200014,Scissors,Mold growth,2024-12-04
34209818,7944940003,200028,Tweezers,Water damage,2023-04-13
54919192,4613029161,200016,Tweezers,Insect damage,2023-04-11
36306972,5894978373,200012,Scalpel,Insect damage,2024-06-04
95420443,9536610667,200002,Brush,Loose binding,2023-10-21
26214430,5662935505,200007,Tweezers,Faded text,2023-03-22
97386520,6895042838,200014,Tweezers,Loose binding,2023-12-09
88211499,6870913569,200007,Scalpel,Cover damage,2024-08-07
13893676,2124774361,200030,Tweezers,Staining,2024-03-21
42860589,4778724630,200028,Clamps,Dust accumulation,2023-10-10
60031025,2808246940,200028,Tweezers,Faded text,2023-05-01
41812024,8953376495,200030,Clamps,Torn pages,2024-11-27
36569148,4529752041,200002,Scalpel,Aging and brittleness,2023-12-27
77070402,5836274977,200016,Clamps,Insect damage,2023-04-30
45350989,5265962879,200028,Scalpel,Water damage,2024-05-05
31588430,8136473438,200030,Clamps,Faded text,2023-07-27
84541523,9326673166,200012,Binding Tape,Faded text,2023-07-13
91095126,3223781891,200029,Clamps,Staining,2023-12-29
57933912,6538373168,200028,Binding Tape,Mold growth,2023-04-15
64749662,6193626556,200016,Binding Tape,Cover damage,2024-02-28
19005537,1507613500,200028,Scissors,Insect damage,2023-11-21
90439781,8059193291,200030,Binding Tape,Cover damage,2024-09-09
47972454,6122152165,200016,Binding Tape,Dust accumulation,2024-11-09
65929323,8547180758,200029,Glue,Dust accumulation,2024-06-27
71565429,2295381990,200029,Binding Tape,Torn pages,2024-04-23
23593085,7587513316,200007,Binding Tape,Water damage,2023-04-22
46399614,9299128276,200029,Scalpel,Torn pages,2023-09-19
23855238,7463920823,200029,Tweezers,Staining,2023-11-11
59768971,9424301052,200016,Tweezers,Staining,2024-01-06
10354827,8547711088,200025,Scissors,Torn pages,2023-06-21
74055822,1077369228,200016,Tweezers,Faded text,2024-02-10
62259342,9826553804,200012,Glue,Insect damage,2023-02-22
22151318,7814903931,200030,Tweezers,Aging and brittleness,2023-05-14
95420567,6573769816,200014,Brush,Torn pages,2024-04-27
44564639,4745877808,200029,Brush,Mold growth,2025-01-08
92274849,8078234350,200029,Scissors,Insect damage,2023-09-06
80871586,9580205462,200016,Clamps,Aging and brittleness,2023-08-12
11272358,1478576397,200025,Scissors,Insect damage,2023-12-04
65667239,7178202087,200025,Scalpel,Cover damage,2024-06-07
41156776,6524940247,200002,Scissors,Loose binding,2024-04-17
78512294,7601330076,200028,Clamps,Insect damage,2023-04-14
84541607,7212149362,200014,Glue,Staining,2023-07-01
24248491,3552430471,200025,Glue,Cover damage,2024-04-13
50856104,3131661157,200012,Tweezers,Cover damage,2023-03-01
62259372,4584915640,200007,Scalpel,Water damage,2023-09-19
69861553,8890146920,200025,Glue,Loose binding,2023-03-25
66453682,1894631308,200007,Clamps,Faded text,2023-03-03
35782843,2590002982,200007,Binding Tape,Mold growth,2024-12-14
75497664,9696523407,200028,Binding Tape,Loose binding,2024-02-11
95420611,7261201045,200007,Clamps,Staining,2024-08-10
53346501,5717432285,200029,Binding Tape,Dust accumulation,2024-09-01
42336453,9648533419,200012,Brush,Dust accumulation,2024-11-21
