ID,Area,Role,ClearanceLevel
3,Archives,Supervisor,1
8,Archives,Supervisor,4
12,Archives,Supervisor,5
16,Reading Room,Guard,4
18,Entrance,Supervisor,3
21,Archives,Guard,3
23,Entrance,Guard,2
30,Reading Room,Guard,3
35,Archives,Guard,1
47,Reading Room,Supervisor,5
52,Reading Room,Supervisor,2
66,Reading Room,Guard,1
67,Reading Room,Supervisor,1
70,Reading Room,Guard,3
71,Archives,Supervisor,2
75,Entrance,Supervisor,3
81,Entrance,Supervisor,4
83,Reading Room,Supervisor,3
86,Reading Room,Guard,1
87,Archives,Guard,1
88,Entrance,Supervisor,5
90,Entrance,Guard,1
97,Reading Room,Guard,2
98,Entrance,Guard,5
104,Entrance,Guard,5
107,Entrance,Guard,4
111,Entrance,Supervisor,4
114,Archives,Guard,3
116,Entrance,Supervisor,3
124,Reading Room,Guard,4
126,Reading Room,Supervisor,4
137,Entrance,Guard,5
139,Archives,Guard,5
140,Archives,Guard,1
141,Archives,Supervisor,3
144,Reading Room,Supervisor,1
146,Entrance,Guard,5
148,Reading Room,Supervisor,4
152,Entrance,Supervisor,3
153,Reading Room,Supervisor,1
162,Reading Room,Supervisor,1
168,Entrance,Guard,5
177,Archives,Guard,5
180,Reading Room,Guard,3
183,Entrance,Guard,2
196,Entrance,Guard,5
207,Reading Room,Supervisor,2
224,Archives,Supervisor,2
226,Archives,Guard,1
228,Entrance,Supervisor,3
230,Archives,Guard,2
232,Reading Room,Guard,1
247,Entrance,Supervisor,5
248,Reading Room,Supervisor,5
250,Entrance,Guard,4
253,Archives,Guard,3
256,Entrance,Supervisor,4
262,Entrance,Supervisor,4
276,Reading Room,Guard,4
277,Archives,Supervisor,1
282,Archives,Guard,3
284,Reading Room,Supervisor,3
285,Reading Room,Guard,2
291,Reading Room,Supervisor,3
295,Entrance,Supervisor,4
299,Entrance,Supervisor,2
300,Reading Room,Guard,2
306,Entrance,Guard,4
321,Entrance,Supervisor,1
328,Archives,Guard,4
330,Archives,Guard,2
343,Reading Room,Guard,2
344,Entrance,Supervisor,5
349,Archives,Supervisor,1
351,Reading Room,Guard,4
359,Reading Room,Guard,1
361,Entrance,Guard,3
373,Reading Room,Supervisor,3
375,Archives,Guard,5
379,Entrance,Guard,1
382,Archives,Supervisor,1
384,Entrance,Guard,2
385,Entrance,Supervisor,4
388,Reading Room,Supervisor,2
390,Reading Room,Guard,5
393,Reading Room,Supervisor,3
396,Archives,Supervisor,1
404,Archives,Supervisor,1
415,Reading Room,Guard,1
422,Entrance,Guard,4
425,Entrance,Supervisor,3
431,Reading Room,Supervisor,5
441,Entrance,Guard,4
443,Reading Room,Supervisor,3
445,Reading Room,Guard,4
447,Archives,Supervisor,5
450,Archives,Supervisor,3
455,Reading Room,Guard,5
460,Reading Room,Supervisor,1
462,Archives,Guard,1
463,Reading Room,Guard,3
472,Archives,Supervisor,3
479,Archives,Guard,3
484,Entrance,Guard,5
488,Reading Room,Supervisor,5
493,Reading Room,Supervisor,3
502,Archives,Supervisor,1
